,Flight Number,Onward/Return,Companies,Destination From,Destination to,Departure time,Arrival Time,Ticket Type,Class,Currency,Base Fare,Airline Taxes,Total Amount
435,1016,Return,Qatar Airways,DOH,DXB,2015-10-30T1300,2015-10-30T1510,E,N,SGD,614.0,231.0,845.0
436,1027,Onward,Qatar Airways,DXB,DOH,2015-10-22T2130,2015-10-22T2140,E,N,SGD,614.0,231.0,845.0
437,836,Onward,Qatar Airways,DOH,BKK,2015-10-23T0215,2015-10-23T1240,E,N,SGD,614.0,231.0,845.0
438,833,Return,Qatar Airways,BKK,DOH,2015-10-30T2045,2015-10-30T2355,E,N,SGD,614.0,231.0,845.0
439,1002,Return,Qatar Airways,DOH,DXB,2015-10-31T0100,2015-10-31T0310,E,N,SGD,614.0,231.0,845.0
440,1027,Onward,Qatar Airways,DXB,DOH,2015-10-22T2130,2015-10-22T2140,E,N,SGD,614.0,231.0,845.0
441,836,Onward,Qatar Airways,DOH,BKK,2015-10-23T0215,2015-10-23T1240,E,N,SGD,614.0,231.0,845.0
442,833,Return,Qatar Airways,BKK,DOH,2015-10-30T2045,2015-10-30T2355,E,N,SGD,614.0,231.0,845.0
443,1032,Return,Qatar Airways,DOH,DWC,2015-10-31T0135,2015-10-31T0340,E,N,SGD,614.0,231.0,845.0
444,1027,Onward,Qatar Airways,DXB,DOH,2015-10-22T2130,2015-10-22T2140,E,N,SGD,614.0,231.0,845.0
445,836,Onward,Qatar Airways,DOH,BKK,2015-10-23T0215,2015-10-23T1240,E,N,SGD,614.0,231.0,845.0
446,835,Return,Qatar Airways,BKK,DOH,2015-10-30T1955,2015-10-30T2255,E,N,SGD,614.0,231.0,845.0
447,1020,Return,Qatar Airways,DOH,DXB,2015-10-30T2359,2015-10-31T0210,E,N,SGD,614.0,231.0,845.0
448,1027,Onward,Qatar Airways,DXB,DOH,2015-10-22T2130,2015-10-22T2140,E,N,SGD,614.0,231.0,845.0
449,836,Onward,Qatar Airways,DOH,BKK,2015-10-23T0215,2015-10-23T1240,E,N,SGD,614.0,231.0,845.0
450,837,Return,Qatar Airways,BKK,DOH,2015-10-30T0140,2015-10-30T0440,E,N,SGD,614.0,231.0,845.0
451,1024,Return,Qatar Airways,DOH,DXB,2015-10-30T0600,2015-10-30T0810,E,N,SGD,614.0,231.0,845.0
452,1027,Onward,Qatar Airways,DXB,DOH,2015-10-22T2130,2015-10-22T2140,E,N,SGD,614.0,231.0,845.0
453,836,Onward,Qatar Airways,DOH,BKK,2015-10-23T0215,2015-10-23T1240,E,N,SGD,614.0,231.0,845.0
454,837,Return,Qatar Airways,BKK,DOH,2015-10-30T0140,2015-10-30T0440,E,N,SGD,614.0,231.0,845.0
455,1028,Return,Qatar Airways,DOH,DWC,2015-10-30T0550,2015-10-30T0755,E,N,SGD,614.0,231.0,845.0
456,1031,Onward,Qatar Airways,DWC,DOH,2015-10-22T1945,2015-10-22T1950,E,N,SGD,614.0,231.0,845.0
457,830,Onward,Qatar Airways,DOH,BKK,2015-10-22T2100,2015-10-23T0725,E,N,SGD,614.0,231.0,845.0
458,831,Return,Qatar Airways,BKK,DOH,2015-10-30T0835,2015-10-30T1135,E,N,SGD,614.0,231.0,845.0
459,1016,Return,Qatar Airways,DOH,DXB,2015-10-30T1300,2015-10-30T1510,E,N,SGD,614.0,231.0,845.0
460,1031,Onward,Qatar Airways,DWC,DOH,2015-10-22T1945,2015-10-22T1950,E,N,SGD,614.0,231.0,845.0
461,830,Onward,Qatar Airways,DOH,BKK,2015-10-22T2100,2015-10-23T0725,E,N,SGD,614.0,231.0,845.0
462,833,Return,Qatar Airways,BKK,DOH,2015-10-30T2045,2015-10-30T2355,E,N,SGD,614.0,231.0,845.0
463,1002,Return,Qatar Airways,DOH,DXB,2015-10-31T0100,2015-10-31T0310,E,N,SGD,614.0,231.0,845.0
464,1031,Onward,Qatar Airways,DWC,DOH,2015-10-22T1945,2015-10-22T1950,E,N,SGD,614.0,231.0,845.0
465,830,Onward,Qatar Airways,DOH,BKK,2015-10-22T2100,2015-10-23T0725,E,N,SGD,614.0,231.0,845.0
